delay;vin;lock_status;latitude;longitude;altitude;speed;battery_voltage;cabin_temperature;fuel_level
;YA-DRIVE-001;1;55.70329032;37.65472196;429.13;0;23,5;17,00;98
60;YA-DRIVE-001;1;55.70329032;37.65472196;429.13;0;23,497;15,00;98
120;YA-DRIVE-001;1;55.70329032;37.65472196;429.13;0;23,494;15,00;98
180;YA-DRIVE-001;1;55.70329032;37.65472196;429.13;0;23,491;15,00;98
240;YA-DRIVE-001;1;55.70329032;37.65472196;429.13;0;23,488;15,00;98
300;YA-DRIVE-001;1;55.70329032;37.65472196;429.13;0;23,484;15,00;98
360;YA-DRIVE-001;1;55.70329032;37.65472196;429.13;0;23,481;15,00;98
420;YA-DRIVE-001;1;55.70329032;37.65472196;429.13;0;23,478;15,00;98
480;YA-DRIVE-001;1;55.70329032;37.65472196;429.13;0;23,475;15,00;98
540;YA-DRIVE-001;1;55.70329032;37.65472196;429.13;0;23,472;15,00;98
600;YA-DRIVE-001;1;55.70329032;37.65472196;429.13;0;23,469;15,00;98
660;YA-DRIVE-001;1;55.70329032;37.65472196;429.13;0;23,466;15,00;98
720;YA-DRIVE-001;1;55.70329032;37.65472196;429.13;0;23,463;15,00;98
780;YA-DRIVE-001;1;55.70329032;37.65472196;429.13;0;23,46;15,00;98
840;YA-DRIVE-001;1;55.70329032;37.65472196;429.13;0;23,456;15,00;98
900;YA-DRIVE-001;1;55.70329032;37.65472196;429.13;0;23,453;15,00;98
960;YA-DRIVE-001;1;55.70329032;37.65472196;429.13;0;23,45;15,00;98
1020;YA-DRIVE-001;1;55.70329032;37.65472196;429.13;0;23,447;15,00;98
1080;YA-DRIVE-001;1;55.70329032;37.65472196;429.13;0;23,444;15,00;98
1140;YA-DRIVE-001;1;55.70329032;37.65472196;429.13;0;23,441;15,00;98
1200;YA-DRIVE-001;1;55.70329032;37.65472196;429.13;0;23,438;15,00;98
1260;YA-DRIVE-001;1;55.70329032;37.65472196;429.13;0;23,435;15,00;98
1320;YA-DRIVE-001;1;55.70329032;37.65472196;429.13;0;23,432;15,00;98
